Project ID,Customer Name,Customer Group Description,Delivery IBU ID,Delivery IBG ID,Proj Pricing Model,Fiscal Month,Fiscal Year,Vertical,Sales SBU ID,Sales IBG ID,Contract Sub Type,Quarter, Revenue Offshore, Revenue Onsite, Revenue Bought Out, Revenue Total
Y.ID2300048,Customer 39,Customer Group 6,DEA-D-4003,DEA-D-3004,FP,MAR,2024,COM,APJ-SALES,IBGSEACOMS,OUTCOME BASED,Q4'25,1,"4,809.48","-13,200.63","-8,391.15"
Y.ID2400006,Customer 39,Customer Group 6,DEA-D-4003,DEA-D-3004,FP,JAN,2024,COM,APJ-SALES,IBGSEACOMS,FP OUTCOME BASED,Q4'25,1,"8,800.88",769.07,"9,569.95"
Y.ID2400006,Customer 39,Customer Group 6,DEA-D-4003,DEA-D-3004,FP,FEB,2024,COM,APJ-SALES,IBGSEACOMS,FP OUTCOME BASED,Q4'25,1,-295.67,1.49,-294.18
Y.ID2400006,Customer 39,Customer Group 6,DEA-D-4003,DEA-D-3004,FP,MAR,2024,COM,APJ-SALES,IBGSEACOMS,FP OUTCOME BASED,Q4'25,1,"11,475.83","14,228.53","25,704.37"
Y.IN2100033,Customer 40,Customer Group 36,DEA-D-4005,DEA-D-3004,T&M,JAN,2024,MAN,ASV,SMFG1,T&M STAFFING,Q4'25,"5,006.53",1,1,"5,006.53"
Y.IN2100033,Customer 40,Customer Group 36,DEA-D-4005,DEA-D-3004,T&M,FEB,2024,MAN,ASV,SMFG1,T&M STAFFING,Q4'25,"4,729.25",1,1,"4,729.25"
Y.IN2100033,Customer 40,Customer Group 36,DEA-D-4005,DEA-D-3004,T&M,MAR,2024,MAN,ASV,SMFG1,T&M STAFFING,Q4'25,"4,249.36",1,1,"4,249.36"
Y.IN2101196,Customer 42,Customer Group 38,DEA-D-4005,DEA-D-3004,FP,JAN,2024,MAN,ASV,SMFG1,FP EMI,Q4'25,"13,467.11",1,1,"13,467.11"
Y.IN2101196,Customer 42,Customer Group 38,DEA-D-4005,DEA-D-3004,FP,FEB,2024,MAN,ASV,SMFG1,FP EMI,Q4'25,"13,486.70",1,1,"13,486.70"
Y.IN2101196,Customer 42,Customer Group 38,DEA-D-4005,DEA-D-3004,FP,MAR,2024,MAN,ASV,SMFG1,FP EMI,Q4'25,"13,464.00",1,1,"13,464.00"
Y.IN2200913,Customer 50,Customer Group 45,DEA-D-4005,DEA-D-3004,FP,JAN,2024,RET,ASV,SIEV2,FP EMI,Q4'25,"3,777.16",1,11,"3,777.16"
Y.IN2200913,Customer 50,Customer Group 45,DEA-D-4005,DEA-D-3004,FP,FEB,2024,RET,ASV,SIEV2,FP EMI,Q4'25,"3,767.26",1,1,"3,767.26"
Y.IN2200913,Customer 50,Customer Group 45,DEA-D-4005,DEA-D-3004,FP,MAR,2024,RET,ASV,SIEV2,FP EMI,Q4'25,"3,792.60",1,1,"3,792.60"
Y.IN2203107,Customer 57,Customer Group 51,DEA-D-4003,DEA-D-3004,T&M,JAN,2024,TME,EMEA-SALES,SEU03_BFSI,T&M MANAGED SERVICES,Q4'25,"20,899.16",1,1,"20,899.16"
Y.IN2300548,Customer 44,Customer Group 40,DEA-D-4005,DEA-D-3004,T&M,MAR,2024,MAN,ASV,SMFG1,NA,Q4'25,1,1,1,1
Y.IN2301846,Customer 63,Customer Group 56,DEA-D-4005,DEA-D-3004,T&M,JAN,2024,ENG,EMEA-SALES,SICE,T&M MANAGED SERVICES,Q4'25,"5,068.23",1,1,"5,068.23"
Z.IN2301551,Customer 315,Customer Group 234,DEA-N-4002,DEA-N-3003,NA,JAN,2024,COR,CORPSALES,IBG_CORP,NA,Q4'25,1,1,1,1
Z.IN2301551,Customer 315,Customer Group 234,DEA-N-4002,DEA-N-3003,NA,FEB,2024,COR,CORPSALES,IBG_CORP,NA,Q4'25,1,1,1,1
Z.IN2301551,Customer 315,Customer Group 234,DEA-N-4002,DEA-N-3003,NA,MAR,2024,COR,CORPSALES,IBG_CORP,NA,Q4'25,1,11,2,1
Z.IN2301551,Customer 315,Customer Group 234,DEA-N-4002,DEA-N-3003,NA,APR'25,2025,COR,CORPSALES,IBG_CORP,NA,Q1'26,1,2,1,1
Z.IN2301551,Customer 315,Customer Group 234,DEA-N-4002,DEA-N-3003,NA,MAY'25,2025,COR,CORPSALES,IBG_CORP,NA,Q1'26,2,3,3,2
Z.IN2301551,Customer 315,Customer Group 234,DEA-N-4002,DEA-N-3003,NA,JUN'25,2025,COR,CORPSALES,IBG_CORP,NA,Q1'26,3,4,4,3
